nhead,d_model,n_layers,dropout,val_acc,val_auc_ovr_macro
8,128,6,0.3,0.94475,0.9764344512700008
4,128,4,0.3,0.94475,0.9755869315917741
8,64,6,0.1,0.94475,0.975544392879414
8,256,2,0.3,0.94475,0.9754383996973042
2,256,2,0.1,0.94475,0.9753965445587977
8,256,6,0.3,0.94475,0.9749832454711314
4,128,2,0.1,0.94475,0.9749725457456884
2,64,2,0.3,0.94475,0.9749693591224045
4,64,4,0.3,0.94475,0.9749203764879887
4,128,6,0.3,0.94475,0.9748649081932822
2,128,4,0.3,0.94475,0.9748085968263464
4,256,6,0.1,0.94475,0.9745715782644219
2,64,2,0.1,0.94475,0.9745270413806179
8,64,2,0.3,0.94475,0.9744527069092171
4,64,6,0.1,0.94475,0.9744516788081983
4,256,2,0.1,0.94475,0.9744306274995704
4,256,2,0.3,0.94475,0.9742990683377638
2,64,6,0.1,0.94475,0.9741824575489457
2,64,4,0.1,0.94475,0.9741326396021411
8,128,2,0.3,0.94475,0.9741144667119039
2,128,2,0.3,0.94475,0.9741099559271418
4,256,4,0.3,0.94475,0.9741016543635138
4,128,4,0.1,0.94475,0.9740815613486199
2,64,4,0.3,0.94475,0.9740365242265779
8,256,6,0.1,0.94475,0.9739782540850968
2,128,4,0.1,0.94475,0.9739705703905518
2,128,6,0.1,0.94475,0.9737923973351436
4,64,4,0.1,0.94475,0.9737746505889581
8,64,6,0.3,0.94475,0.9737738370835626
2,64,6,0.3,0.94475,0.9737659320960116
8,128,4,0.1,0.94475,0.9737588496406415
8,64,2,0.1,0.94475,0.973731028355033
2,128,2,0.1,0.94475,0.973701861789824
2,128,6,0.3,0.94475,0.9736123144482702
4,128,6,0.1,0.94475,0.97360468195243
4,64,2,0.3,0.94475,0.9735921406924671
8,128,6,0.1,0.94475,0.9735835335481576
8,128,4,0.3,0.94475,0.9735769017134576
4,256,4,0.1,0.94475,0.9734564397231321
4,64,2,0.1,0.94475,0.973435888825164
2,256,2,0.3,0.94475,0.9734135698679566
2,256,4,0.1,0.94475,0.9734132989791416
8,64,4,0.3,0.94475,0.9733297346710064
8,64,4,0.1,0.94475,0.973292477286528
2,256,4,0.3,0.94475,0.973244691268745
8,128,2,0.1,0.94475,0.9729331509700456
8,256,2,0.1,0.944625,0.9748089592443847
4,64,6,0.3,0.944625,0.973808925038186
4,128,2,0.3,0.943625,0.9747500138043783
2,256,6,0.3,0.942875,0.9723504029255396
8,256,4,0.3,0.941,0.9633220756567477
2,256,6,0.1,0.93425,0.9467746859770019
8,256,4,0.1,0.92525,0.9699751556308643
4,256,6,0.3,0.89975,0.9515807457315373
